Company,Time,const,stock-rf,SMB1,HML1,cbci-rf,term,credit,convertible
0,2015-02-28,1.0,0.0456572647163056,0.041457861896325054,-0.04523269210663228,0.005998738937488776,0.015269358200113103,0.001956861434752488,-0.012158091399920782
1,2015-03-31,1.0,0.16388011203127428,0.0998734109562156,-0.04066056623534253,-0.014758425595156586,-0.04458506024886566,0.014243002979553387,0.024704967090927978
2,2015-04-30,1.0,0.1884013316977915,0.023833692944305707,-0.005559893203677557,0.012721621966715887,0.018438738022168888,-0.001413098948147784,0.09110253321718464
3,2015-05-31,1.0,0.10537672653545038,0.231697766735236,-0.13439029919077272,0.003723386399045908,-0.0029456036490538295,0.008964546249943472,0.10461226294050718
4,2015-06-30,1.0,-0.08117382855948863,-0.05592434979894578,0.10459369761779747,0.0011171736655365809,-0.001292111012897168,0.0019898075964681627,-0.2698018206250918
5,2015-07-31,1.0,-0.1422811930010518,-0.0011444219159075786,0.008874790065790839,0.007767481290023265,0.021818538932645626,0.004667041295379981,-0.15512033435438197
6,2015-08-31,1.0,-0.15216488093890235,0.0069537062098168345,-0.002162803421393522,0.004988727307091764,0.02318423065933839,0.000399198516477961,-0.0897351671454395
7,2015-09-30,1.0,-0.04960691994536304,0.01523757233190004,-0.03085230316248022,0.0029226700365253665,-0.005805399797532251,0.003108835286022238,0.025446345887508617
8,2015-10-31,1.0,0.14709998194789886,0.10630564645338181,-0.07882622098283576,0.00934219880698337,0.013863792165314415,0.0049949032187843745,0.04099749475850443
9,2015-11-30,1.0,0.05834148311490717,0.11704403331471158,-0.03384610174885605,-0.0010594048292611354,0.00011736822792929313,-0.002770013013282835,-0.0005999492181252182
10,2015-12-31,1.0,0.04123655791940517,0.058979419234534536,-0.03231240783697409,0.013218296145353017,0.024896755971635542,-0.0015678570598467445,0.005979499058060102
11,2016-01-31,1.0,-0.2543234233600966,-0.07854326666377687,0.07002908232587446,0.00013192081985463622,0.01140754041797698,0.005383087561489974,-0.10672027643415333
12,2016-02-29,1.0,-0.02372359621418063,0.0032935064755306165,0.008609596884410431,0.001197008618651324,0.0033052733058429595,0.005805059520688216,0.0013073236642916208
13,2016-03-31,1.0,0.1496131961136431,0.06493473416756546,-0.049291020574528166,0.004688264332049181,0.023192552731809535,0.0054359492228517325,0.022064525044213096
14,2016-04-30,1.0,-0.021853102753819464,0.030409538236747524,-0.0010934425660260594,-0.008562871233117171,-0.01675280716038885,-0.005901538521526639,-0.02947287746853245
15,2016-05-31,1.0,-0.00014693918715114052,-0.024029005475730614,0.004554491344324063,0.002514219556542843,-0.014980665002502502,0.0021045374488595225,-0.013472514571525216
16,2016-06-30,1.0,0.03233173006627932,0.050399871310845334,-0.010963485349173796,0.005101652238791214,0.006719903493701329,-4.395874997076277e-05,-0.004335821083415799
17,2016-07-31,1.0,0.008423249115885545,-0.028337169327174228,0.03796852484728497,0.006687485574653642,0.029606054565747053,0.004692219074344139,0.008879437818878724
18,2016-08-31,1.0,0.050785583528568656,0.022427253089492893,0.006985437336057609,0.003208807505515706,0.011162151721819003,0.00479234857078259,0.022268711882246037
19,2016-09-30,1.0,-0.020105107430919422,0.025098049680321477,-0.0032604905433230025,0.0025898262003914464,0.01452182538893343,-0.0008885107550242743,0.003960058532852365
20,2016-10-31,1.0,0.033670470450449796,0.021731540240770952,0.009258284556882046,0.002734685553830581,0.0034998759054316597,0.0012124929633858805,0.011566998765658339
21,2016-11-30,1.0,0.04803105692937559,-0.0009630319564291057,0.019504176659856487,-0.009971035707828372,-0.0237921592186755,-9.598288707379776e-05,0.005146097852539329
22,2016-12-31,1.0,-0.05221997221313979,0.010716541800961599,0.015557463538168559,-0.013174299163237976,-0.03821763368052067,-0.0014860994973737718,-0.0587323128631001
23,2017-01-31,1.0,0.005004106369457695,-0.04183457619635378,0.03277781980932226,-0.0053999612925028865,-0.024033343309803223,0.007906218537308662,0.0014648043070965891
24,2017-02-28,1.0,0.036807628703231066,0.01870600133871614,-0.008921663862088258,-0.002009593848669795,-0.007294379362371428,0.0013767735256348113,0.004358254977954761
25,2017-03-31,1.0,-0.001056961524717459,-0.016357525071548085,0.01655839702468387,-0.0020974571512495936,0.006009038846935821,0.0006666530339254351,-0.01127583119754988
26,2017-04-30,1.0,-0.025788458069261555,-0.05093834903475358,0.04261185963657166,-0.0068367312297684165,-0.011870812055713165,0.00017568139742052402,-0.009699838607596328
27,2017-05-31,1.0,-0.019893764892604082,-0.06479450892797078,0.05699036569778415,-0.007699227760481185,-0.0084505097941181,-0.003868095535798255,-0.018939930400709657
28,2017-06-30,1.0,0.04064901724617154,-0.00921902799127483,-0.015859028087488514,0.009673304492007975,0.00396025526590571,0.005654496375629314,0.04757073887743123
29,2017-07-31,1.0,0.025106678968940255,-0.04020508705237702,0.03980263043143317,0.0007007770841909347,-0.016783023338215575,0.00601103729099739,0.054168979392762454
30,2017-08-31,1.0,0.03428040345335637,0.008049142973152845,-0.010915264039879968,-0.00256838607333586,-0.015447880731530694,9.343745809020643e-05,0.014817879984045167
31,2017-09-30,1.0,0.008255676403392309,0.0021513585543213587,-0.034273331370445415,0.0025625860977522095,0.003119962146806987,0.001907416943868645,-0.032245246419428907
32,2017-10-31,1.0,0.01540386861286036,-0.04986918285319153,-0.003628414483112463,-0.006173840101258619,-0.01767646134343559,0.006347576524449838,-0.017272009924307184
33,2017-11-30,1.0,-0.028001144712196058,-0.05573579460104616,0.02482195341879967,-0.004955309802446894,0.005654346294618806,0.000892938060295001,-0.04366118124674316
34,2017-12-31,1.0,0.0028704990333738856,-0.026875565759836295,-0.0019392423976728468,-0.0014324509627211632,-0.003174026655237694,0.0024196964314304736,-0.014919470298931157
35,2018-01-31,1.0,0.041683498914882655,-0.0705731730742547,0.07115407900910387,0.0010513453064722174,-0.004232254118843315,0.004261170453579766,0.06586585617793062
36,2018-02-28,1.0,-0.0373929059058955,-0.0005000481961535685,-0.018200682029079762,0.005640172280807087,0.011885618835131284,-0.002449909051380983,-0.018023222521690262
37,2018-03-31,1.0,-0.011063714764957822,0.06883735777994726,-0.061320154911585156,0.005031710277080133,0.015050906988896662,-0.004633014994277929,-0.014648312450145888
38,2018-04-30,1.0,-0.03308638499972805,-0.003607524991529054,0.014870757232183784,0.009256134524807443,0.009645381906481898,-0.001963453047496788,-0.004565990091294107
39,2018-05-31,1.0,0.0022481447155506817,-0.015240888760171267,0.004210906953322491,-0.0005683653105811926,0.008353602505818625,-0.006039515983415122,-0.028162603264199344
40,2018-06-30,1.0,-0.07662861847456881,-0.035594717794787956,0.035325871264147324,0.003650821190608171,0.018101825974131014,-0.012169886609994074,-0.03347389017161478
