date,000001.OF,000011.OF,000017.OF,000056.OF,000066.OF,000547.OF,002011.OF,020003.OF,020005.OF,020009.OF,020018.OF,050004.OF,070002.OF,070003.OF,070006.OF,070010.OF,070011.OF,080001.OF,080007.OF,090003.OF,090004.OF,090019.OF,100020.OF,100022.OF,110002.OF,110005.OF,112002.OF,151001.OF,160105.OF,160311.OF,160603.OF,160605.OF,160610.OF,160805.OF,160910.OF,161005.OF,161601.OF,161606.OF,162102.OF,162207.OF,163302.OF,163801.OF,163804.OF,166801.OF,202001.OF,202002.OF,217005.OF,217009.OF,233001.OF,240001.OF,240005.OF,240008.OF,257010.OF,270006.OF,270007.OF,288001.OF,290002.OF,310308.OF,310358.OF,320001.OF,373020.OF,375010.OF,398001.OF,398011.OF,398021.OF,400003.OF,400015.OF,400020.OF,410001.OF,460002.OF,483003.OF,510081.OF,519008.OF,519011.OF,519015.OF,519021.OF,519087.OF,519181.OF,519915.OF,519991.OF,530005.OF,550001.OF,560002.OF,560003.OF,580001.OF,620001.OF,630001.OF,660003.OF
2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,0.05366855834161277,0.09654471544715437,0.09395036194415707,0.0444797458300239,0.018723404255319265,0.04773082942097018,0.05835629972440315,0.07435886137304992,0.035532994923857864,0.024379477776645953,0.02648244099021313,0.036606054813504985,0.10680615601245291,0.05769798459597997,0.0444688529734818,0.05857615795281701,0.13067557671182706,0.06778231940905832,0.06344410876132911,0.07615995115995133,0.07774592888002663,-0.0007855459544382493,0.07306696015139513,0.05205861108244769,0.023658187179237622,0.036188255246978995,0.02383008116042129,0.0786409854698491,0.05533409736409389,0.05118239544558789,0.05488584474885849,0.04423383589446228,0.06388192386596758,0.04156769596199528,0.0499194105457057,0.07513158843463841,0.0553822316212651,0.03574720884973881,0.05025348873673763,0.012506430041152372,0.07881272346196533,0.09732934095514634,0.08741107330652653,0.058626465661641536,0.05597579425113475,0.056826716066689986,0.036682615629984205,0.04047948363301068,0.04703002190439376,0.05696023362188418,0.03465982028241332,0.04156897535010451,0.04000615084958614,0.06891266710186472,0.03408825589540032,0.04223140015124183,0.08461612623324877,0.07264229027703384,0.11694448771875177,0.06830134400143861,0.07230428802105138,0.10319405038259832,0.10274923632324362,0.02834358186010766,0.09802955665024649,0.11082478596253287,0.08610448009770733,0.005896805896805857,0.08354825573503466,0.0261756592031821,0.09276960065677597,0.053511564654536325,0.09769250927547812,0.04485892537184544,0.04659681403867455,0.06344448094612365,0.023186682520808466,0.0663034302816361,0.07950191570881215,0.06720615809730557,0.07911720640774456,0.060996563573882945,0.04209621993127155,0.052641581147852445,0.08020581113801462,0.08394290811775207,0.05113253012048169,0.05775503677646299
2015-03-31,0.17052900751158706,0.13512398562354488,0.18022403932504605,0.13155893536121677,0.0601503759398494,0.12994772218073192,0.17756377974033644,0.1693907265754775,0.13605042016806723,0.15973350127614427,0.03065993643671705,0.15008182928796976,0.17425356816284343,0.11770228097328284,0.11599363019049336,0.18324740089595126,0.26146621867789355,0.1844648528023347,0.09943181818181834,0.12999574528435676,0.17807928768284942,0.01650943396226401,0.1536315993546047,0.14900364539911393,0.09385869565217386,0.13394848292652983,0.10122561421262732,0.1706490473613762,0.1712977171321326,0.14526376087069748,0.15986494675785656,0.18604772234273326,0.1462852857678505,0.1280140167422199,0.12412825123908933,0.20757829790087867,0.15855884453614788,0.15924973628691985,0.11174699544651512,0.09678341218683517,0.25557841204537013,0.2177310437970288,0.22644783251792022,0.07911392405063289,0.17864027090388124,0.17865264354747024,0.12246794871794875,0.19354838709677402,0.14662810730986964,0.20771074147166635,0.21845090393477484,0.16643345298209344,0.15549531789058646,0.15628899922997275,0.2034319259426507,0.18118732674740934,0.21602962962962957,0.17350551495619815,0.16253661258078012,0.1403235646813792,0.12526491912994975,0.14901120311738913,0.21300583073436252,0.11722569995951293,0.1829519964109465,0.23144897896889582,0.21795133919443876,0.016365412799218326,0.15822110867522698,0.18255704907783676,0.15481620606385849,0.1746352592711189,0.1727565149649437,0.13371624553211725,0.13202018557707973,0.1478935784067652,0.14308541545613007,0.22360561353004682,0.17391304347826075,0.153828370630664,0.1383563838308326,0.18539395826845229,0.13085513003072768,0.14343744358187394,0.11462594564303719,0.12303514114064673,0.21113199761588208,0.18406095053815452
2015-04-30,0.12128618241398148,0.10538316398412872,0.1641169403283942,0.11223118279569899,0.05752561071710027,0.13549239920687373,0.12302204049275578,0.14018904652508635,0.10678797741450308,0.1265005144621012,0.06765826228913485,0.15023850563193974,0.208389761646804,0.13270680105330057,0.09723362724641582,0.1865371336047814,0.14893139079648288,0.1626788017564964,0.06976744186046502,0.09234901350469404,0.1418358499517398,0.010827532869296164,0.1569161046902443,0.1536250853630774,0.13101803547473545,0.134364174364896,0.12714741544352282,0.12466853180878257,0.14255769424569187,0.12608843924065005,0.10095838060548146,0.12534749656161304,0.14906542056074756,0.0997041420118343,0.11908385032580293,0.14052937321589232,0.18028632098088915,0.15656723632951342,0.14903760071620398,0.08528994528241807,0.11610708475077636,0.10190015957266207,0.0658904840318204,0.03421309872922795,0.09503182461103243,0.0943767836327829,0.09785557237086318,0.0712058212058213,0.13147303461228854,0.12177414648380491,0.1046985235289839,0.1010640147432107,0.18163787587971858,0.11293544905504382,0.0758911819887429,0.10162230272483863,0.13481640310908616,0.10772235867484081,0.10957808438312333,0.15443794623913787,0.08624107850911988,0.16181981584793048,0.15391494594292476,0.129902712346333,0.08267597087378631,0.09582708490834957,0.06462984723854293,0.009212529039493766,0.17670758747498794,0.17673803859370874,0.18842936802973975,0.14431022438791685,0.20894626881662814,0.08060430448490141,0.08455565142364097,0.21919467151074778,0.08572316120924595,0.1102811433948947,0.26152683295540435,0.10875576036866375,0.1711229946524062,0.08238972230249875,0.10053681489827038,0.1336543775163812,0.06226590583444347,0.058038985783379626,0.1299591156874622,0.10438157491573885
2015-05-31,0.17283830352032914,0.14196410475825894,0.2625567634512178,0.18670694864048332,0.19523099850968695,0.270081490104773,0.19964147385824282,0.20219327252872343,0.08770718232044206,0.06583954939869074,0.011297995242949277,0.08231399198466649,0.22362780532907456,0.0755741713094713,0.22676301712715308,0.19812967831269668,0.2191436471804038,0.1540149078852242,0.10688405797101463,0.1512971941999679,0.3039815464848059,0.018362662586075107,0.16151705136495265,0.1591520114446392,0.057909418379897826,0.12737192028121092,0.05466980704773983,0.23906812749434891,0.1862122495060683,0.1165330802931499,0.22344103808761906,0.2090803895310287,0.29223261488409924,0.13151286880100432,0.11641853491858711,0.15303409522511036,0.0835267831234403,0.07725026430310034,0.19729640234519574,0.1337797102995706,0.1933168871944384,0.22099317003029828,0.2608468601766831,0.15737240075614345,0.1937716961330429,0.19315385462959567,0.17355909280066584,0.21231025161156158,0.24477116433483537,0.21073167686352878,0.21736840372650357,0.136962940739922,0.06490154673597193,0.253481894150418,0.1383730054930683,0.24029910497269147,0.26929187958947054,0.2464339961939348,0.27140025229771125,0.2590852430722026,0.2762365395145099,0.2905160838344327,0.32525568457035314,0.13847975723484574,0.3549110270421745,0.3448466958459153,0.2925339009776098,0.021590728687093108,0.21938552749500184,0.05606972773834129,0.23436950146627544,0.1259919896371513,0.1958311546744418,0.19148003237992461,0.18549456377618667,0.20017658582346942,0.036674816625916984,0.08205753032791252,0.2666267225883763,0.13216957605985025,0.11099094768885687,0.2115828054078981,0.18511381428399365,0.14261838440111418,0.26657674286525634,0.13886964953594694,0.10720627156688667,0.20627947840562277
2015-06-30,-0.14235285567449152,-0.17913991386518158,-0.1707356948228882,-0.08503054989816705,-0.09039900249376565,-0.12282309807516045,-0.13343450219500297,-0.11931476529815899,-0.095873015873016,-0.05403603989621264,0.010331793364132924,-0.06071095083234057,-0.18563169042303518,-0.12439210717546445,-0.13292196297666792,-0.19718946804234216,-0.2557446906000136,-0.1353394828368365,-0.10747408619749044,-0.12121514540627942,-0.158041619970554,0.005785123966942196,-0.1441884107082344,-0.1191603451394283,-0.014626955537792252,-0.029204700969257535,-0.033562379214086335,-0.16724422370224246,-0.10594253762417472,-0.09970526011247127,-0.13444530643910002,-0.1399875260769512,-0.18498237663645523,-0.09381810976817906,-0.14088069956277327,-0.09987584144868544,-0.08189499337180817,-0.08944425425082736,-0.092828788963363,-0.13112324125923502,-0.18159607729237515,-0.2144647633788126,-0.14225313222655578,-0.054307880767660244,-0.1466973237079241,-0.14440066490180392,-0.11573325059285033,-0.13967981703830767,-0.13118189438390615,-0.1589020376242899,-0.1486479177934018,-0.10085410735365596,-0.01379590868260927,-0.19440329218107,-0.08639705882352944,-0.1601171195057003,-0.21836727789430943,-0.16598498431196773,-0.236541459957477,-0.24349503718934828,-0.1367179120486235,-0.18080546476515758,-0.24139767541432133,-0.14393446885970618,-0.2538262668045501,-0.14553023294928935,-0.12427948397328381,0.014141414141414232,-0.16076812905171123,-0.0051050795541564,-0.1685831036776585,-0.1360396694214877,-0.16923829427720216,-0.13147912243453652,-0.13611452857622197,-0.16060508529127782,-0.04650491770373333,-0.10119455595809268,-0.26490066225165554,-0.10761029177041437,-0.10624797202292957,-0.1934850548922189,-0.14923780487804883,-0.16223793271574838,-0.23191898809857447,-0.09171075837742504,-0.08681049350963721,-0.14838808601985654
2015-07-31,-0.12449458877079156,-0.08778479248945392,-0.20592100939738456,-0.11964385086254858,-0.030157642220699166,-0.08098223615464994,-0.10876227406341854,-0.13161526504641408,-0.13675697716563961,-0.11313822693072295,0.027186564682407655,-0.10085185883482162,-0.102522107098171,-0.08024599408422539,-0.0896193771626298,-0.1401180864158894,-0.14286154035584564,-0.12826662669264988,-0.13875305623471879,-0.13289270464250025,-0.2160772543390317,-0.0029879734070367148,-0.16982964240932963,-0.14760058460460668,-0.14651285292878224,-0.16345245534741093,-0.14402204101584204,-0.11952454325335682,-0.029856952761144417,-0.10168912812066933,-0.08316367687166282,-0.12028608582574785,-0.13097536489304196,-0.1525090193506068,-0.13584645025264452,-0.14626731223961265,-0.0982862976737402,-0.05927912572688987,-0.13715433449302394,-0.1031709496601586,-0.18844724646152555,-0.13793288073158716,-0.13296984085467678,-0.023747841105353884,-0.08870264701220487,-0.08886490375966893,-0.01601543898343316,-0.11995746660463869,-0.12287856860939339,-0.09031275863125954,-0.16161102817393513,-0.13335804642972993,-0.06588874185842686,-0.15950143032284425,-0.09624413145539912,-0.1488903224035465,-0.15426234120371374,-0.1320748379295288,-0.18484274627752395,-0.16831649944632743,-0.09405284519175017,-0.16572327912306373,-0.25852456534008783,-0.16922336978533825,-0.2216062642921489,-0.22052064366911084,-0.13909591140210353,0.008657676984370255,-0.18042799721554792,-0.2034550585820576,-0.11597515906579792,-0.13439551861885302,-0.16292886581384147,-0.1260246736526458,-0.1286250647332987,-0.11316827344434699,-0.0994934543780015,-0.08638814750258728,-0.11132561132561136,-0.11293149704882854,-0.11682129891085113,-0.09148492225147797,-0.23072328734396452,-0.1572821184344536,-0.20077839941620035,-0.15339805825242725,-0.2107687210072896,-0.13566798703637029
2015-08-31,-0.09612566024169689,-0.1438142239404202,-0.11056399222079694,-0.11694058154235143,-0.024028268551236742,-0.032973280272882266,-0.11747368421052629,-0.09212573397795143,-0.12286456556538183,-0.10387878443946319,-0.051315256980979496,-0.1193122247850702,-0.07540903999937343,-0.09684882698625696,-0.18579754212593436,-0.1723886934368556,-0.10766744478362356,-0.11283388742405132,-0.16465578424414473,-0.15941535479477176,-0.08408243441203878,-0.004045853000674393,-0.1397844577943832,-0.14184296665769225,-0.15720933677311044,-0.15612730620895732,-0.14450356911096696,-0.11595238095238092,-0.1637205315045005,-0.05983097079998212,-0.13193397016926434,-0.15646142475410763,-0.17497556207233622,-0.07450980392156858,-0.13208817095742897,-0.13361689967466805,-0.11145796266942709,-0.1899229969891557,-0.0701874714220393,-0.11503970530511198,-0.07252733118971066,-0.11451462642071919,-0.09546572608715831,-0.05572755417956676,-0.11209914121100117,-0.11269496544916091,-0.11454406520631688,-0.10851835070231075,-0.11504424778761069,-0.12912211339743018,-0.15110816442508046,-0.11046356199540175,-0.11423052157115254,-0.1587251422181164,-0.07467532467532467,-0.11531824998790541,-0.15074592492131322,-0.10985332249700053,-0.20288798797430874,-0.16487795037320951,-0.0757942857142857,-0.14754261128578527,-0.20966154874403586,-0.1286449922301105,-0.08492833615240802,-0.18444677331784487,-0.14571197411003234,-0.00015191796429925297,-0.17962628089210364,-0.1320055829933433,-0.19501788561823907,-0.14037414244288848,-0.1612741650148134,-0.056724099351085244,-0.06151103186984619,-0.1462631253860407,-0.07518665166635008,-0.017766648780778715,-0.19695872556118754,-0.16706992499395112,-0.14798574952041654,-0.1305536568694463,-0.1954968944099379,-0.10600828729281764,-0.1960068176284393,-0.09759569756406195,-0.19652378353415345,-0.13930840537444011
2015-09-30,-0.019947988373871794,-0.03426469321719017,-0.004419632472668078,-0.0014316392269148048,0.0,-0.005878894767783693,-0.014687840785169048,0.021282476506357284,-0.02617801047120416,-0.019789753657146525,0.011347154679634874,-0.04476190476190478,-0.02657371091665328,-0.044446152269699724,-0.0015093752431338814,0.0007036059806508899,0.006399162876805864,-0.006331771926990859,-0.05182667799490226,-0.05581004019818647,-0.06730157576198181,0.0020311442112390665,-0.01844273116121875,0.008701969914631569,0.02012390702579192,-0.022316006176016367,0.018902846046483512,0.036924319956908036,-0.024110218140068973,-0.011510107015457738,0.0,-0.014524499561906046,-0.02552778974579928,-0.02935437109723471,0.030001938735944256,0.020881170157433404,0.010121052152543886,-0.005558661974147228,-0.025281087243221534,-0.04322904227370439,0.021522375227080337,-0.0009819599921442324,-0.02036942021549515,0.016393442622950838,-0.028085898283503496,-0.027680121044902473,-0.04004257400109312,-0.0027954256670902344,-0.022711864406779636,0.029057470078415193,0.0009149130832570851,-0.009997796077017118,-0.00704108337141196,0.038462649906082946,-0.02436090225563925,-0.02845424717462619,0.010907556948294594,0.004217299623921145,0.024629978855934542,-0.001980819866173933,0.023346688430528895,-0.025371743603680552,0.054169603006812395,-0.005909710808826185,-0.0008755715536532538,0.031521419392794625,-0.021640306847239388,0.005773759781204868,0.014895464564825378,-0.059867647968334436,0.045615162222936156,-0.00497768270358101,0.05350630868731021,-0.005376981773613343,-0.00522441225362158,-0.014578208652872293,-0.03900658798995216,-0.0038846737481031957,0.0018034265103696878,-0.031130476882111013,-0.011150423501661844,0.00971698113207542,0.11908897896159032,-0.07367709540363077,0.04345850999394307,-0.026993865030674802,-0.07445919113804988,0.019180734555575674
2015-10-31,0.06405893921893058,0.14302367059902665,0.18757009345794384,0.1333333333333333,0.018102824040550303,0.12359550561797739,0.1333310275654549,0.19550744248985108,0.09139784946236573,0.11076654714604128,0.025898430909397696,0.12279071875283254,0.09666527429685345,0.13042545776252634,0.1679030046128911,0.19651959922657758,0.1492441813964649,0.14426671868396235,0.16666666666666652,0.14547854785478553,0.07814022370318408,0.01306306306306304,0.17167220346733725,0.14446372446306976,0.1331495599488881,0.16055673706597018,0.1292695274113338,0.12284096516973597,0.11319327731092432,0.06984073521628265,0.1236385282429977,0.16530451732038443,0.10721786227478725,0.0689278842011547,0.10404216272175426,0.13823269916617997,0.10021444918995859,0.18436197658265518,0.13924689262945478,0.1214606661436417,0.062202191059283374,0.12721860256122208,0.12232231707955799,0.08617511520737331,0.12108233397158119,0.11913588722596002,0.12537832249558,0.1033809038396194,0.13411955139322473,0.10336011229618114,0.13497124002318617,0.15633854124504176,0.11922940155207384,0.17236197684772936,0.05271270036991371,0.06938216476856973,0.14751117734724284,0.07583071761013094,0.20055772448410503,0.16110371535761847,0.0829909613804436,0.14742964128507996,0.19257509581959176,0.2089137470099902,0.08159688412852972,0.1476878742851997,0.11567687914428149,0.005891683661908065,0.19685402132420693,0.17926452207091637,0.16651305683563744,0.1978087855297157,0.18724671941335402,0.07667845927574835,0.07901647171162574,0.1775632318931024,0.060087459722496295,0.19413807811833528,0.16201620162016206,0.2198680791525085,0.13639813509704002,0.15329035472920371,0.18609865470852016,0.15980402376733038,0.2104556668117834,0.09809043415600782,0.2337266414497825,0.14016860603182146
